method	host	sanitized_path	count	first_seen	last_seen
POST	rcs-internal.rokid.com	/gather/batchSend	1	2026-07-16T22:40:15.295369000-0400	2026-07-16T22:40:15.295369000-0400
GET	xr-cloud-global.rokid.com	/biz/glasses/v1/api/flight?pageNum=[REDACTED]&pageSize=[REDACTED]	1	2026-07-16T22:40:15.848757000-0400	2026-07-16T22:40:15.848757000-0400
POST	rcs-internal.rokid.com	/talos/checkFunctionAvailable	1	2026-07-16T22:40:15.854240000-0400	2026-07-16T22:40:15.854240000-0400
POST	ar-service.rokid.com	/oauth/token?clientId=[REDACTED]&clientSecret=[REDACTED]&grantType=[REDACTED]	1	2026-07-16T22:40:15.871052000-0400	2026-07-16T22:40:15.871052000-0400
POST	rcs-internal.rokid.com	/ymir/user/getHomeInfo	1	2026-07-16T22:40:15.948469000-0400	2026-07-16T22:40:15.948469000-0400
POST	rcs-internal.rokid.com	/ymir/user/getHomePage	2	2026-07-16T22:40:15.959497000-0400	2026-07-16T22:40:25.283008000-0400
POST	ar-service.rokid.com	/oauth2/appUpgrade?source=[REDACTED]&languageType=[REDACTED]	1	2026-07-16T22:40:16.295016000-0400	2026-07-16T22:40:16.295016000-0400
GET	xr-cloud-global.rokid.com	/auth/base/asr/getToken	2	2026-07-16T22:40:16.995933000-0400	2026-07-16T22:40:17.025689000-0400
POST	device-account-prod.rokid.com	/device/loginV6.do?deviceTypeId=[REDACTED]&deviceId=[REDACTED]&time=[REDACTED]&sign=[REDACTED]&userId=[REDACTED]&appName=[REDACTED]&namespaces=[REDACTED]&mobilePlatform=[REDACTED]	1	2026-07-16T22:40:17.519383000-0400	2026-07-16T22:40:17.519383000-0400
POST	rcs-internal.rokid.com	/device/bindGlassesDevice	1	2026-07-16T22:40:17.791970000-0400	2026-07-16T22:40:17.791970000-0400
GET	xr-cloud-global.rokid.com	/geolocation/queryCountryCode	1	2026-07-16T22:40:17.935488000-0400	2026-07-16T22:40:17.935488000-0400
GET	ai-cloud-global.rokid.com	/manager/v3/api/model/aggregate?modelZone=[REDACTED]&companyId=[REDACTED]&countryCode=[REDACTED]	2	2026-07-16T22:40:18.777169000-0400	2026-07-16T22:40:32.523218000-0400
GET	ai-cloud-global.rokid.com	/ws/ai	1	2026-07-16T22:40:18.781291000-0400	2026-07-16T22:40:18.781291000-0400
POST	imgs-ac.alipay.com	/imgw.htm	3	2026-07-16T22:40:19.156138000-0400	2026-07-16T22:40:20.475481000-0400
POST	ota.rokid.com	/v1/extended/ota/check	1	2026-07-16T22:40:21.782732000-0400	2026-07-16T22:40:21.782732000-0400
GET	ota-g.rokidcdn.com	/sdk/AI/wend/android.latest.json	1	2026-07-16T22:40:37.654393000-0400	2026-07-16T22:40:37.654393000-0400
POST	firebaselogging-pa.googleapis.com	/v1/firelog/legacy/batchlog	1	2026-07-16T22:41:07.878732000-0400	2026-07-16T22:41:07.878732000-0400
